Account Name,Parent Account,Account Number,Is Group,Account Type,Root Type
Application of Funds,,10000,1,,Asset
Current Assets,Application of Funds,11000,1,,Asset
Cash and Bank,Current Assets,11100,1,,Asset
Cash,Cash and Bank,11110,1,,Asset
Petty Cash - HO,Cash,11110-01,0,Cash,Asset
Petty Cash - Tsion,Cash,11110-02,0,Cash,Asset
Bank,Current Assets,11120,1,,Asset
Abay Bank S C - UNIT 1,Bank,11120-01,0,Bank,Asset
Awash Bank - UNIT 1,Bank,11120-02,0,Bank,Asset
Berhan International Bank S C - UNIT 1,Bank,11120-03,0,Bank,Asset
Commercial Bank of Ethiopia - UNIT 1,Bank,11120-04,0,Bank,Asset
Commercial Bank of Ethiopia-Bole - UNIT 1,Bank,11120-05,0,Bank,Asset
Dashen Bank - UNIT 1,Bank,11120-06,0,Bank,Asset
NIB International Bank S C - UNIT 1,Bank,11120-07,0,Bank,Asset
United Bank S.C. - UNIT 1,Bank,11120-08,0,Bank,Asset
Wegagen Bank S C - UNIT 1,Bank,11120-09,0,Bank,Asset
Zemen Bank - UNIT 1,Bank,11120-10,0,Bank,Asset
Commercial Bank of Ethiopia-Bole - UNIT 2,Bank,11120-11,0,Bank,Asset
Accounts Receivable,Current Assets,11200,1,,Asset
Trade Debtors - UNIT 1,Accounts Receivable,11200-01,0,Receivable,Asset
Trade Debtors - UNIT 2,Accounts Receivable,11200-02,0,Receivable,Asset
Staff Debtors,Accounts Receivable,11200-03,0,Receivable,Asset
Prepayments & Deposits,Accounts Receivable,11200-04,0,Receivable,Asset
Telephone Deposit,Accounts Receivable,11200-05,0,Receivable,Asset
Loans to  Employees,Accounts Receivable,11210,1,,Asset
Loan to Samuel A,Loans to  Employees,11210-01,0,Receivable,Asset
Loan to Tewodros T,Loans to  Employees,11210-02,0,Receivable,Asset
Loan to Shareholders,Loans to  Employees,11210-03,0,Receivable,Asset
Other Current Assets,Current Assets,11300,1,,Asset
Preoperational Cost,Other Current Assets,11300-01,0,Capital Work in Progress,Asset
Prepaid Expenses,Other Current Assets,11300-02,0,Receivable,Asset
Suspense ,Other Current Assets,11300-03,0,Temporary,Asset
Prepaid Rent,Other Current Assets,11300-04,0,Receivable,Asset
Withholding Tax Receivable,Other Current Assets,11300-05,0,Receivable,Asset
Withholding Tax Receivable (07 July 2020),Other Current Assets,11300-06,0,Receivable,Asset
Goods in Transit,Current Assets,11400,1,,Asset
GIT - Fixed Assets,Goods in Transit,11410,1,,Asset
GIT - Inventory,Goods in Transit,11420,1,,Asset
GIT-1 (Honey Jar Preform Cavity),GIT - Inventory,11420-01,0,Capital Work in Progress,Asset
GIT-2 (Mould and Spares),GIT - Inventory,11420-02,0,Capital Work in Progress,Asset
GIT - Jars,GIT - Inventory,11420-03,0,Capital Work in Progress,Asset
GIT-Yasin 400ml Mould,GIT - Inventory,11420-04,0,Capital Work in Progress,Asset
Stock Assets,Current Assets,11500,1,,Asset
SA- Stock location - UNIT 1,Stock Assets,11510,1,,Asset
Raw Material-1,SA- Stock location - UNIT 1,11510-01,0,Stock,Asset
Work In Process-1,SA- Stock location - UNIT 1,11510-02,0,Stock,Asset
Finished Goods-1,SA- Stock location - UNIT 1,11510-03,0,Stock,Asset
Packaging-1,SA- Stock location - UNIT 1,11510-04,0,Stock,Asset
