"ID","Department","Parent Department","Company","Is Group","Disabled","Leave Block List","Old Parent","ID (Leave Approver)","Approver (Leave Approver)","ID (Expense Approver)","Approver (Expense Approver)"
"All Departments","All Departments","","",1,0,"","","","","",""
"Accounts - NP","Accounts","All Departments","Niyo Polymers",0,0,"","All Departments","","","",""
"Marketing - NP","Marketing","All Departments","Niyo Polymers",0,0,"","All Departments","","","",""
"Sales - NP","Sales","All Departments","Niyo Polymers",0,0,"","All Departments","","","",""
"Purchase - NP","Purchase","All Departments","Niyo Polymers",0,0,"","All Departments","","","",""
"Operations - NP","Operations","All Departments","Niyo Polymers",0,0,"","All Departments","","","",""
"Production - NP","Production","All Departments","Niyo Polymers",0,0,"","All Departments","","","",""
"Dispatch - NP","Dispatch","All Departments","Niyo Polymers",0,0,"","All Departments","","","",""
"Customer Service - NP","Customer Service","All Departments","Niyo Polymers",0,0,"","All Departments","","","",""
"Human Resources - NP","Human Resources","All Departments","Niyo Polymers",0,0,"","All Departments","","","",""
"Management - NP","Management","All Departments","Niyo Polymers",0,0,"","All Departments","","","",""
"Quality Management - NP","Quality Management","All Departments","Niyo Polymers",0,0,"","All Departments","","","",""
"Research & Development - NP","Research & Development","All Departments","Niyo Polymers",0,0,"","All Departments","","","",""
"Legal - NP","Legal","All Departments","Niyo Polymers",0,0,"","All Departments","","","",""
