"Holiday List Name","From Date","To Date","Total Holidays","Weekly Off","Color","ID (Holidays)","Date (Holidays)","Description (Holidays)"
"Niyo Holidays","2021-01-01","2021-12-31",65,"Sunday","","f27961fe12","2021-01-03","Sunday"
"","","","","","","ac0478a4a6","2021-01-10","Sunday"
"","","","","","","92988265f9","2021-01-17","Sunday"
"","","","","","","b2bc8c026b","2021-01-24","Sunday"
"","","","","","","f2e8460f01","2021-01-31","Sunday"
"","","","","","","9d10e8b0b1","2021-02-07","Sunday"
"","","","","","","7c0d14bef0","2021-02-14","Sunday"
"","","","","","","29d58530a7","2021-02-21","Sunday"
"","","","","","","a0db3cb1bd","2021-02-28","Sunday"
"","","","","","","f78987985a","2021-03-07","Sunday"
"","","","","","","a503b5e118","2021-03-14","Sunday"
"","","","","","","9d59ce4220","2021-03-21","Sunday"
"","","","","","","64bca54da0","2021-03-28","Sunday"
"","","","","","","82ee2f636a","2021-04-04","Sunday"
"","","","","","","849023537d","2021-04-11","Sunday"
"","","","","","","f781d469e1","2021-04-18","Sunday"
"","","","","","","472e271d0f","2021-04-25","Sunday"
"","","","","","","e0851baa6b","2021-05-02","Sunday"
"","","","","","","c5e0b81e57","2021-05-09","Sunday"
"","","","","","","f80abdecf2","2021-05-16","Sunday"
"","","","","","","495dddab4c","2021-05-23","Sunday"
"","","","","","","a87e3b5abb","2021-05-30","Sunday"
"","","","","","","3ada3ffd39","2021-06-06","Sunday"
"","","","","","","7df706d026","2021-06-13","Sunday"
"","","","","","","57d97fa9ef","2021-06-20","Sunday"
"","","","","","","db2ca06e9a","2021-06-27","Sunday"
"","","","","","","62fed69b1a","2021-07-04","Sunday"
"","","","","","","376e7c8d79","2021-07-11","Sunday"
"","","","","","","6e8813be17","2021-07-18","Sunday"
"","","","","","","0416271a5d","2021-07-25","Sunday"
"","","","","","","89e9f84929","2021-08-01","Sunday"
"","","","","","","4e20586d30","2021-08-08","Sunday"
"","","","","","","ec5ade6048","2021-08-15","Sunday"
"","","","","","","4b4c7e6bc6","2021-08-22","Sunday"
"","","","","","","3170a16f99","2021-08-29","Sunday"
"","","","","","","3f531f2599","2021-09-05","Sunday"
"","","","","","","3f89314270","2021-09-12","Sunday"
"","","","","","","ab7b6e23df","2021-09-19","Sunday"
"","","","","","","b5aca47f92","2021-09-26","Sunday"
"","","","","","","133a4c8a78","2021-10-03","Sunday"
"","","","","","","e89a1120d7","2021-10-10","Sunday"
"","","","","","","fd2a119324","2021-10-17","Sunday"
"","","","","","","2e8dd590e3","2021-10-24","Sunday"
"","","","","","","17a3329cc4","2021-10-31","Sunday"
"","","","","","","3506ffb862","2021-11-07","Sunday"
"","","","","","","f5374d1865","2021-11-14","Sunday"
"","","","","","","9a4e70af13","2021-11-21","Sunday"
"","","","","","","35baa6797f","2021-11-28","Sunday"
"","","","","","","dbb976a620","2021-12-05","Sunday"
"","","","","","","9e19f35669","2021-12-12","Sunday"
"","","","","","","5c3b635731","2021-12-19","Sunday"
"","","","","","","828d5c3b15","2021-12-26","Sunday"
"","","","","","","fda7ee73fb","2021-01-07","Orthodox Christmas Day"
"","","","","","","63bb7e298f","2021-01-19","Epiphany/Timkat"
"","","","","","","8b9257114c","2021-03-02","Adwa Victory Day"
"","","","","","","e7d45d32cb","2021-01-09","Patriots' Victory Day"
"","","","","","","d5e1aa6996","2021-05-12","Eid al-Fitr"
"","","","","","","2ecd5c6910","2021-05-28","Derg Downfall Day"
"","","","","","","58a463cc58","2021-07-20","Eid al-Adha"
"","","","","","","0ecb2f7978","2021-09-11","Enkuta taash"
"","","","","","","94874b5513","2021-09-27","Meskel"
"","","","","","","65e8764ad2","2021-10-18","Prophet's Birthday"
"","","","","","","5e082583e5","2021-04-30","Good Friday (Eastern)"
"","","","","","","516610d596","2021-05-01","Labour Day"
"","","","","","","7abac10bce","2021-05-02","Orthodox Easter"
