Item Code,Hub Sync ID,Workflow State,Series,Variant Of,Item Name,Item Group,HSN/SAC,Is nil rated or exempted,Is Non GST,Is Item from Hub,Default Unit of Measure,Disabled,Allow Alternative Item,Maintain Stock,Include Item In Manufacturing,Opening Stock,Valuation Rate,Standard Selling Rate,Is Fixed Asset,Auto Create Assets on Purchase,Asset Category,Asset Naming Series,Over Delivery/Receipt Allowance (%),Over Billing Allowance (%),Image,Brand,Description,Shelf Life In Days,End of Life,Default Material Request Type,Valuation Method,Warranty Period (in days),Weight Per Unit,Weight UOM,Has Batch No,Automatically Create New Batch,Batch Number Series,Has Expiry Date,Retain Sample,Max Sample Quantity,Has Serial No,Serial Number Series,Has Variants,Variant Based On,Is Purchase Item,Default Purchase Unit of Measure,Minimum Order Qty,Safety Stock,Lead Time in days,Last Purchase Rate,Is Customer Provided Item,Customer,Delivered by Supplier (Drop Ship),Country of Origin,Customs Tariff Number,Default Sales Unit of Measure,Is Sales Item,Max Discount (%),Deferred Revenue Account,Enable Deferred Revenue,No of Months,Deferred Expense Account,Enable Deferred Expense,no_of_months_exp,Inspection Required before Purchase,Inspection Required before Delivery,Quality Inspection Template,Default BOM,Supply Raw Materials for Purchase,Customer Code,Default Item Manufacturer,Default Manufacturer Part No,Show in Website,Show in Website (Variant),Route,Weightage,Slideshow,Website Image,Thumbnail,Website Warehouse,Website Description,Website Content,Total Projected Qty,Publish in Hub,Hub Category to Publish,Hub Warehouse,Synced With Hub,Customer GSTIN,Reason For Issuing document,Withholding Category,Barcode (Barcodes),Barcode Type (Barcodes),ID (Reorder level based on Warehouse),Check in (group) (Reorder level based on Warehouse),Request for (Reorder level based on Warehouse),Re-order Level (Reorder level based on Warehouse),Re-order Qty (Reorder level based on Warehouse),Material Request Type (Reorder level based on Warehouse),ID (UOMs),UOM (UOMs),Conversion Factor (UOMs),ID (Attributes),Variant Of (Attributes),Attribute (Attributes),Attribute Value (Attributes),Numeric Values (Attributes),From Range (Attributes),Increment (Attributes),To Range (Attributes),ID (Item Defaults),Company (Item Defaults),Default Warehouse (Item Defaults),Default Price List (Item Defaults),Default Buying Cost Center (Item Defaults),Default Supplier (Item Defaults),Default Expense Account (Item Defaults),Default Selling Cost Center (Item Defaults),Default Income Account (Item Defaults),ID (Supplier Items),Supplier (Supplier Items),Supplier Part Number (Supplier Items),ID (Customer Items),Customer Name (Customer Items),Customer Group (Customer Items),Ref Code (Customer Items),ID (Taxes),Item Tax Template (Taxes),Tax Category (Taxes),Valid From (Taxes),ID (Website Item Groups),Item Group (Website Item Groups),ID (Website Specifications),Label (Website Specifications),Description (Website Specifications)
PET Flakes,,,STO-ITEM-.YYYY.-,,PET Flakes,Raw Material,,0,0,0,Kg,0,0,1,1,0,0,0,0,0,,,0,0,,,PET Flakes,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,15,0,,0,Ethiopia,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,137bfdcc8f,Kg,1,,,,,,,,,53b69614ef,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Clear - Super,,,STO-ITEM-.YYYY.-,,Preform 28 gm Clear - Super,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Clear - Super,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,892915e36d,Nos,1,,,,,,,,,42aa05ecda,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Amber - Super,,,STO-ITEM-.YYYY.-,,Preform 28 gm Amber - Super,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Amber - Super,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,4b89a7c447,Nos,1,,,,,,,,,e2904beb19,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Dark Blue - Super,,,STO-ITEM-.YYYY.-,,Preform 28 gm Dark Blue - Super,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Dark Blue - Super,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,9f7b75f8a6,Nos,1,,,,,,,,,4b0718607f,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Light Blue - Super,,,STO-ITEM-.YYYY.-,,Preform 28 gm Light Blue - Super,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Light Blue - Super,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,c872d930ab,Nos,1,,,,,,,,,eadef22e42,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Clear - Arova,,,STO-ITEM-.YYYY.-,,Preform 28 gm Clear - Arova,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Clear - Arova,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,2f256eb068,Nos,1,,,,,,,,,3fae3820b5,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Amber - Arova,,,STO-ITEM-.YYYY.-,,Preform 28 gm Amber - Arova,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Amber - Arova,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,404569b367,Nos,1,,,,,,,,,cc81e19443,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Dark Blue - Arova,,,STO-ITEM-.YYYY.-,,Preform 28 gm Dark Blue - Arova,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Dark Blue - Arova,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,1010965444,Nos,1,,,,,,,,,94d2a761dc,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Light Blue - Arova,,,STO-ITEM-.YYYY.-,,Preform 28 gm Light Blue - Arova,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Light Blue - Arova,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,209879b953,Nos,1,,,,,,,,,5be9b7eb97,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
Preform 28 gm Clear - Niyo,,,STO-ITEM-.YYYY.-,,Preform 28 gm Clear - Niyo,Preform 28 gm,,0,0,0,Nos,0,0,1,1,0,0,0,0,0,,,0,0,,,Preform 28 gm Clear - Niyo,0,2099-12-31,Purchase,,,0,,0,0,,0,0,0,0,,0,Item Attribute,1,,0,0,0,0,0,,0,,,,1,0,,0,0,,0,0,0,0,,,0,,,,0,0,,0,,,,,,,0,0,,,0,,01-Sales Return,Purchase,,,,,,,,,8e8635b7ca,Nos,1,,,,,,,,,b6acdd06af,Niyo Polymers,Stores - NP,,,,,,,,,,,,,,,,,,,,,,
