"Item Group Name","Parent Item Group","Is Group","Image","Show in Website","Route","Weightage","Slideshow","Description","old_parent","ID (Item Group Defaults)","Company (Item Group Defaults)","Default Warehouse (Item Group Defaults)","Default Price List (Item Group Defaults)","Default Buying Cost Center (Item Group Defaults)","Default Supplier (Item Group Defaults)","Default Expense Account (Item Group Defaults)","Default Selling Cost Center (Item Group Defaults)","Default Income Account (Item Group Defaults)","ID (Taxes)","Item Tax Template (Taxes)","Tax Category (Taxes)","Valid From (Taxes)","ID (Website Specifications)","Label (Website Specifications)","Description (Website Specifications)"
"All Item Groups","",1,"",0,"all-item-groups",0,"","","","","","","","","","","","","","","","","","",""
"Products","All Item Groups",1,"",1,"products",0,"","","All Item Groups","","","","","","","","","","","","","","","",""
"30 ml","Products",0,"",0,"products/30-ml",0,"","","Products","","","","","","","","","","","","","","","",""
"50 ml","Products",0,"",0,"products/50-ml",0,"","","Products","","","","","","","","","","","","","","","",""
"100 ml","Products",0,"",0,"products/100-ml",0,"","","Products","","","","","","","","","","","","","","","",""
"150 ml","Products",0,"",0,"products/150-ml",0,"","","Products","","","","","","","","","","","","","","","",""
"200 ml","Products",0,"",0,"products/200-ml",0,"","","Products","","","","","","","","","","","","","","","",""
"250 ml","Products",0,"",0,"products/250-ml",0,"","","Products","","","","","","","","","","","","","","","",""
"390 ml","Products",0,"",0,"products/390-ml",0,"","","Products","","","","","","","","","","","","","","","",""
"400 ml","Products",0,"",0,"products/400-ml",0,"","","Products","","","","","","","","","","","","","","","",""
"500 ml","Products",0,"",0,"products/500-ml",0,"","","Products","","","","","","","","","","","","","","","",""
"750 ml","Products",0,"",0,"products/750-ml",0,"","","Products","","","","","","","","","","","","","","","",""
"800 ml","Products",0,"",0,"products/800-ml",0,"","","Products","","","","","","","","","","","","","","","",""
"1 L","Products",0,"",0,"products/1-l",0,"","","Products","","","","","","","","","","","","","","","",""
"2 L","Products",0,"",0,"products/2-l",0,"","","Products","","","","","","","","","","","","","","","",""
"3 L","Products",0,"",0,"products/3-l",0,"","","Products","","","","","","","","","","","","","","","",""
"5 L","Products",0,"",0,"products/5-l",0,"","","Products","","","","","","","","","","","","","","","",""
"Chocolate Jar","Products",0,"",0,"products/chocolate-jar",0,"","","Products","","","","","","","","","","","","","","","",""
"Honey Jar","Products",0,"",0,"products/honey-jar",0,"","","Products","","","","","","","","","","","","","","","",""
"Tulips","Products",0,"",0,"products/tulips",0,"","","Products","","","","","","","","","","","","","","","",""
"Raw Material","All Item Groups",0,"",0,"raw-material",0,"","","All Item Groups","","","","","","","","","","","","","","","",""
"Services","All Item Groups",0,"",0,"services",0,"","","All Item Groups","","","","","","","","","","","","","","","",""
"Sub Assemblies","All Item Groups",0,"",0,"sub-assemblies",0,"","","All Item Groups","","","","","","","","","","","","","","","",""
"Consumable","All Item Groups",0,"",0,"consumable",0,"","","All Item Groups","","","","","","","","","","","","","","","",""
"Caps","All Item Groups",0,"",0,"caps",0,"","","All Item Groups","","","","","","","","","","","","","","","",""
"Handles","All Item Groups",0,"",0,"handles",0,"","","All Item Groups","","","","","","","","","","","","","","","",""
"Others","All Item Groups",0,"",0,"others",0,"","","All Item Groups","","","","","","","","","","","","","","","",""
"Packing Material","All Item Groups",0,"",0,"packing-material",0,"","","All Item Groups","","","","","","","","","","","","","","","",""
"Preforms","All Item Groups",1,"",0,"preforms",0,"","","All Item Groups","","","","","","","","","","","","","","","",""
"Preform 10 gm","Preforms",0,"",0,"preforms/preform-10-gm",0,"","","Preforms","","","","","","","","","","","","","","","",""
"Preform 20 gm","Preforms",0,"",0,"preforms/preform-20-gm",0,"","","Preforms","","","","","","","","","","","","","","","",""
"Preform 28 gm","Preforms",0,"",0,"preforms/preform-28-gm",0,"","","Preforms","","","","","","","","","","","","","","","",""
"Preform 41/42 gm","Preforms",0,"",0,"preforms/preform-42-gm",0,"","","Preforms","","","","","","","","","","","","","","","",""
"Preform 65 gm","Preforms",0,"",0,"preforms/preform-65-gm",0,"","","Preforms","","","","","","","","","","","","","","","",""
"Preform 70 gm","Preforms",0,"",0,"preforms/preform-70-gm",0,"","","Preforms","","","","","","","","","","","","","","","",""
"Preform 95 gm","Preforms",0,"",0,"preforms/preform-90-gm",0,"","","Preforms","","","","","","","","","","","","","","","",""
"Preform 24 gm","Preforms",0,"",0,"preforms/preform-24-gm",0,"","","Preforms","","","","","","","","","","","","","","","",""
"Preform 6.4 gm","Preforms",0,"",0,"preforms/preform-64-gm",0,"","","Preforms","","","","","","","","","","","","","","","",""
"Preform 7 gm","Preforms",0,"",0,"preforms/preform-7-gm",0,"","","Preforms","","","","","","","","","","","","","","","",""
"Preform 54 gm","Preforms",0,"",0,"preforms/preform-54-gm",0,"","","Preforms","","","","","","","","","","","","","","","",""
