"Role Name","Disabled","Desk Access","Two Factor Authentication","Restrict To Domain"
"PCPV Approver",0,1,0,""
"CRV Approver",0,1,0,""
"Payment Entry Approver",0,1,0,""
"Sales Order Approver",0,1,0,""
"Deputy PRA Approver",0,1,0,""
"PRA Approver",0,1,0,""
"PRA Checker",0,1,0,""
"Purchase Order Approver",0,1,0,""
"Material Request Approver",0,1,0,""
"Sales Invoice Approver",0,1,0,""
"Purchase Invoice Approver",0,1,0,""
"Journal Entry Approver",0,1,0,""
"Face Recognition User",0,1,0,""
"Analytics",0,1,0,""
"Non Profit Portal User",1,0,0,"Non Profit"
"Customer",0,0,0,""
"Supplier",0,0,0,""
"Patient",1,0,0,"Healthcare"
"Hotel Reservation User",1,1,0,"Hospitality"
"Hotel Manager",1,1,0,"Hospitality"
"Non Profit Member",1,1,0,"Non Profit"
"Non Profit Manager",1,1,0,"Non Profit"
"Restaurant Manager",1,1,0,"Hospitality"
"LabTest Approver",1,1,0,"Healthcare"
"Nursing User",1,1,0,"Healthcare"
"Laboratory User",1,1,0,"Healthcare"
"Healthcare Administrator",1,1,0,"Healthcare"
"Physician",1,1,0,"Healthcare"
"Student",1,1,0,"Education"
"LMS User",0,1,0,""
"Instructor",1,1,0,"Education"
"Education Manager",1,1,0,"Education"
"Agriculture User",1,1,0,"Agriculture"
"Agriculture Manager",1,1,0,"Agriculture"
"Support Team",0,1,0,""
"Fulfillment User",0,1,0,""
"Quality Manager",0,1,0,""
"Leave Approver",0,1,0,""
"Expense Approver",0,1,0,""
"Fleet Manager",0,1,0,""
"Academics User",1,1,0,"Education"
"Item Manager",0,1,0,""
"Projects Manager",0,1,0,""
"Manufacturing User",0,1,0,""
"HR User",0,1,0,""
"Projects User",0,1,0,""
"Stock Manager",0,1,0,""
"Manufacturing Manager",0,1,0,""
"HR Manager",0,1,0,""
"Auditor",0,1,0,""
"Stock User",0,1,0,""
"Employee",0,1,0,""
"Translator",0,1,0,""
"Sales Manager",0,1,0,""
"Purchase Manager",0,1,0,""
"Purchase Master Manager",0,1,0,""
"Sales Master Manager",0,1,0,""
"Maintenance Manager",0,1,0,""
"Maintenance User",0,1,0,""
"Accounts Manager",0,1,0,""
"Purchase User",0,1,0,""
"Sales User",0,1,0,""
"Accounts User",0,1,0,""
"Newsletter Manager",0,1,0,""
"Knowledge Base Contributor",0,1,0,""
"Knowledge Base Editor",0,1,0,""
"Blogger",0,1,0,""
"Report Manager",0,1,0,""
"Inbox User",0,1,0,""
"Script Manager",0,1,0,""
"Website Manager",0,1,0,""
"Guest",0,1,0,""
"All",0,1,0,""
"System Manager",0,1,0,""
"Administrator",0,1,0,""
